ppm,intensity
289.774209,298505.0
289.725675,-61622.0
289.677141,-423916.0
289.628608,-756490.0
289.580074,-1032943.0
289.53154,-1237982.0
289.483006,-1367914.0
289.434473,-1428120.0
289.385939,-1430602.0
289.337405,-1393012.0
289.288871,-1338119.0
289.240337,-1291511.0
289.191804,-1276771.0
289.14327000000003,-1309958.0
289.094736,-1396501.0
289.046202,-1532156.0
288.997669,-1706768.0
288.949135,-1908031.0
288.900601,-2123218.0
288.852067,-2339048.0
288.803533,-2541396.0
288.755,-2716237.0
288.70646600000003,-2851652.0
288.65793199999996,-2939169.0
288.609398,-2972809.0
288.560865,-2946115.0
288.512331,-2849620.0
288.463797,-2671451.0
288.415263,-2401656.0
288.36672999999996,-2037990.0
288.318196,-1589811.0
288.26966200000004,-1077872.0
288.22112799999996,-530212.0
288.172594,23967.0
288.124061,560440.0
288.075527,1064657.0
288.026993,1533956.0
287.978459,1976154.0
287.92992599999997,2404153.0
287.881392,2828264.0
287.832858,3249695.0
287.784324,3657929.0
287.73579,4031879.0
287.687257,4342673.0
287.63872299999997,4556868.0
287.590189,4640663.0
287.541655,4565943.0
287.493122,4317130.0
287.444588,3896580.0
287.396054,3326821.0
287.34752000000003,2649134.0
287.298986,1918625.0
287.250453,1196445.0
287.201919,540569.0
287.153385,-2784.0
287.104851,-405499.0
287.05631800000003,-660819.0
287.00778399999996,-782774.0
286.95925,-801196.0
286.91071600000004,-753117.0
286.86218199999996,-673500.0
286.813649,-589133.0
286.765115,-517811.0
286.716581,-471885.0
286.668047,-462783.0
286.61951400000004,-502879.0
286.57097999999996,-603271.0
286.522446,-769496.0
286.473912,-999235.0
286.42537799999997,-1284617.0
286.376845,-1547096.0
286.328311,-1857800.0
286.279777,-2214699.0
286.231243,-2616761.0
286.18271,-3054887.0
286.13417599999997,-3506776.0
286.085642,-3936183.0
286.037108,-4297967.0
285.988574,-4548200.0
285.940041,-4656080.0
285.891507,-4613004.0
285.842973,-4435285.0
285.794439,-4159824.0
285.745906,-3834771.0
285.69737200000003,-3508348.0
285.648838,-3218883.0
285.600304,-2988474.0
285.55177000000003,-2821820.0
285.503237,-2710155.0
285.454703,-2638090.0
285.406169,-2589595.0
285.357635,-2550180.0
285.309102,-2505671.0
285.26056800000003,-2441208.0
285.21203399999996,-2344030.0
285.1635,-2209808.0
285.11496600000004,-2048257.0
285.066433,-1883355.0
285.017899,-1746893.0
284.969365,-1668252.0
284.920831,-1665066.0
284.872298,-1738415.0
284.82376400000004,-1873721.0
284.77522999999997,-2045980.0
284.726696,-2226449.0
284.678163,-2387846.0
284.629629,-2506985.0
284.581095,-2565829.0
284.532561,-2552875.0
284.484027,-2465561.0
284.435494,-2312578.0
284.38696,-2114244.0
284.33842599999997,-1900065.0
284.289892,-1704078.0
284.241359,-1559162.0
284.192825,-1491348.0
284.144291,-1515117.0
284.095757,-1630821.0
284.047223,-1825039.0
283.99869,-2073370.0
283.950156,-2344214.0
283.90162200000003,-2602534.0
283.853088,-2813985.0
283.804555,-2949898.0
283.756021,-2992195.0
283.707487,-2936061.0
283.658953,-2788995.0
283.610419,-2566940.0
283.56188599999996,-2289355.0
283.513352,-1974829.0
283.46481800000004,-1638014.0
283.41628399999996,-1288423.0
283.367751,-931219.0
283.319217,-569255.0
283.270683,-205088.0
283.222149,157679.0
283.173615,513452.0
283.12508199999996,853780.0
283.076548,1167311.0
283.028014,1441527.0
282.97947999999997,1666073.0
282.930947,1836003.0
282.882413,1953135.0
282.833879,2025064.0
282.785345,2062678.0
282.736811,2077196.0
282.68827799999997,2077204.0
282.639744,2065887.0
282.59121,2039277.0
282.542676,1986841.0
282.494143,1895066.0
282.445609,1752725.0
282.397075,1554867.0
282.348541,1303015.0
282.300007,1001801.0
282.25147400000003,654876.0
282.20294,263231.0
282.154406,-173090.0
282.10587200000003,-651344.0
282.057339,-1162930.0
282.008805,-1692511.0
281.960271,-2219927.0
281.911737,-2724124.0
281.863203,-3187155.0
281.81467000000004,-3596234.0
281.76613599999996,-3943079.0
281.717602,-4221909.0
281.66906800000004,-4428196.0
281.620535,-4559017.0
281.572001,-4613944.0
281.523467,-4595034.0
281.474933,-4505868.0
281.426399,-4350871.0
